127.0.0.1 - - [21/Sep/2013:10:59:59 +0700] "HEAD / HTTP/1.1" 302 -
127.0.0.1 - - [21/Sep/2013:11:00:08 +0700] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [21/Sep/2013:11:00:08 +0700] "GET /install.php HTTP/1.1" 200 4428
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /modules/system/system.base.css?0 HTTP/1.1" 200 5350
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /modules/system/system.maintenance.css?0 HTTP/1.1" 200 811
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /modules/system/system.messages.css?0 HTTP/1.1" 200 961
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /modules/system/system.menus.css?0 HTTP/1.1" 200 2035
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /modules/system/system.admin.css?0 HTTP/1.1" 200 5117
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /themes/seven/reset.css?0 HTTP/1.1" 200 2947
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /modules/system/system.theme.css?0 HTTP/1.1" 200 3711
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /themes/seven/style.css?0 HTTP/1.1" 200 18468
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /misc/jquery.js?v=1.4.4 HTTP/1.1" 200 78602
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /misc/drupal.js?0 HTTP/1.1" 200 14544
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /misc/jquery.once.js?v=1.2 HTTP/1.1" 200 2974
127.0.0.1 - - [21/Sep/2013:11:00:15 +0700] "GET /themes/seven/logo.png HTTP/1.1" 200 3905
127.0.0.1 - - [21/Sep/2013:11:00:16 +0700] "GET /themes/seven/images/task-item.png HTTP/1.1" 200 105
127.0.0.1 - - [21/Sep/2013:11:00:16 +0700] "GET /themes/seven/images/buttons.png HTTP/1.1" 200 786
127.0.0.1 - - [21/Sep/2013:11:00:16 +0700] "GET /misc/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [21/Sep/2013:11:00:21 +0700] "POST /install.php HTTP/1.1" 302 -
127.0.0.1 - - [21/Sep/2013:11:00:21 +0700] "GET /install.php?profile=standard HTTP/1.1" 200 4209
127.0.0.1 - - [21/Sep/2013:11:00:22 +0700] "GET /themes/seven/images/task-check.png HTTP/1.1" 200 261
